polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
842,831,100.0%,0.25,0.0,"Was sagen Experten zur Möglichkeit, mit Solarenergie aus Quarzsand hergestelltes Silizium in Kohlekraftwerken als Brennstoff zu verwenden ?"
842,831,100.0%,0.25,0.0,Warum macht es uns die Regierung für die Förderungen so schwer. Einen Aufwand an Ansuchen das ist nicht normal. Bund u.Land?
842,831,100.0%,0.25,0.0,"Bei sämtlichen Lebensmittel Geschäften, Autohändler etc muss in der Nacht nicht unbedingt Licht brennen"
842,831,100.0%,0.25,0.0,"Nicht nur ständig neue Ideen zur alternativen Energiegewinnung entwickeln, sondern endlich das Hauptaugenmerk auf Energieeinsparen lenken."
842,831,100.0%,0.25,0.0,Windräder vermehrt aufstellen. Sie sehen schöner aus als jeder halbverrosteter Stromleitungsmast.
842,831,100.0%,0.25,0.0,"""Raus aus Öl !"" Mein neues Heizsystem kosten 20.000 Euro. Auf die Förderung von 7.500 Euro muss man bis zu einem Jahr warten !? Ein Witz !"
842,831,100.0%,0.25,0.0,"Energie: Mehr Strom löst  nicht das Gasproblem, oder hohes Speichervolumen. Alks einfache Lösung ."
842,831,100.0%,0.25,0.0,"es müssen die Handlungen, rascher durch das Buschwerk von Vorschriften und Förderungen durchzogen werden. Zum B.: PV-Solar Hybridanlagen"
842,831,100.0%,0.25,0.0,In der Zeitung stand 65 Fragen. Jedes Thema über 80 Fragen ist zu mühsam. Man hat ja auch noch etwas anderes zu tun.
842,831,100.0%,0.25,0.0,Klimawandel ist ein Schmarren!
842,586,50.0%,0.25,3.759774968112126e-05,Die aktuelle Klimaschutzgesetzgebung geht im Bereich Energie weit genug.
875,222,76.7%,0.24609375000000003,0.00126795896858907,"Ich bin bereit, Windräder auch in meinem näheren Umfeld zu akzeptieren."
876,350,66.3%,0.24339839265212398,0.000483428371640293,Wissenschaftliche Kommission die anhand von Erzeugungspotenzial unabhängig über Genehmigung von Projekten abspricht
877,44,72.4%,0.24195987498739793,0.021449237304560814,Dienstwagenflotten dürfen in Zukunft ausschließlich als Car-Sharing mit Elektroautos sein. Dies gilt auch für Politiker.
878,3,84.4%,0.24175824175824173,0.06363732452409741,Klimarat: Klimaschutz muss in Lehr- und Studienplänen verankert werden.
879,456,49.2%,0.2407407407407407,0.0002185082827737636,"Kleinwindkraft ist unwirtschaftlich, ineffizient und äußerst laut. Keine generelle Freigabe in bewohntem Gebiet. Großwindkraft forcieren!"
879,602,48.0%,0.2407407407407407,2.1536250280080483e-05,"Aus Klimasicht reicht es nicht aus, auf E-Autos umzusteigen. Ich bin bereit, zukünftig stärker öffentliche Verkehrsmittel zu nutzen, mit dem Rad zu fahren und zu Fuß zu gehen."
881,511,75.6%,0.2406417112299465,0.0001248029437605052,Kostenwahrheit. Ich habe für mein Auto in den letzten 11 Jahren komplett 32.000 EUR ausgegeben. 2.900 EUR je Jahr > Klimaticket 1.095 EUR!
882,526,70.8%,0.24060150375939846,0.00010944457093330116,Zuerst Dämmung aller Häuser verpflichtend zu Energie klasse B bis 2030 und dann Austausch aller Heizsysteme zu erneuerbaren bis 2035.
883,257,56.6%,0.2397645169922398,0.0008778953257402023,Der Staat soll es ermöglichen ohne Elektrikermeister Photovoltaik zu bauen: Kostenlose Abnahme durch staatlich beauftragte Prüfer
884,593,48.1%,0.2393162393162393,3.0828157723304974e-05,"Es würde mich interessieren, wie es technisch möglich ist, Gasthermen durch Windräder zu ersetzen."
885,419,70.8%,0.2383367139959432,0.0003100924215171074,"Jeder Bereich von Industrie, Verkehr, Haushalte zahlen den gleichen, ausreichend hohen CO2-Preis und bekommen sozial faire Rückvergütungen."
886,193,83.3%,0.23800000000000002,0.0016573366805309167,Oberste Priorität für das Überleben des Planeten ist CO2-freie (oder zumindest) CO2-arme Energieerzeugung....noch immer sehr weit weg davon
887,595,47.4%,0.2375,2.9630951042946502e-05,Österreich muss im Klimaschutz global eine Vorbildrolle übernehmen.
888,48,84.4%,0.23693586698337296,0.02036357309314362,Es gibt ab sofort keine öffentlichen Gelder mehr für die Finanzierung fossiler Energieformen.
889,82,38.6%,0.23608200236082,0.009104605333330563,Die meisten Ideen aus dem Klimarat sind weltfremd. Z.B. kann ausschließlich durch E-Mobilität und Öffis keine Mobilität gesichert werden
890,555,47.5%,0.23333333333333334,7.035529387062028e-05,Globalisierung vs. Autarkie   Vordringlich die Installierung von Windrädern offshore die ganze Atlantik-Küste von Norwegen bis Portugal  !!
891,347,62.9%,0.2333333333333333,0.0004891212294656542,"Energiekosten progresdiv nach Verbrauch staffeln. Grundbedarf billig, mehr Verbrauch teurer."
892,548,58.1%,0.2323232323232323,8.050673886996839e-05,"PV, Netzeinspeiseanlagen finanziert, montiert, und überwacht durch Netzbetreiber und oder vertraglich gewählten Abnehmer."
893,123,72.1%,0.23143136036915435,0.0037708610618333444,PV auf allen Neubauten und jenen der letzten 10 Jahre gesetzlich bundesweit.
894,7,78.4%,0.23007192088702427,0.06153684638421739,"Klimarat: Ich bin bereit, Windräder auch in meinem näheren Umfeld zu akzeptieren."
895,180,60.0%,0.22669882252801815,0.0018565747903306067,Energieimporte aus anderen Kontinenten verbieten! Österreich muss energieautark werden.
896,346,67.0%,0.22499999999999995,0.0004985320447054112,Neben PV sollte auch die Windkraft für Private forciert werden. Es gibt mittlerweile gute kleine Windräder auch für Dach und Garten.
897,608,52.4%,0.22377622377622375,1.590024225291812e-05,Lower tech and appropriate tech before high tech
898,383,39.4%,0.22265060240963858,0.0003968096110527395,E-Autos machen es noch schlimmer
899,603,41.7%,0.22,2.059095920874425e-05,Die aktuellen Energie- und Klimaschutzgesetze sind mir bekannt
900,133,64.7%,0.21735241502683367,0.003219435791485758,Klein Windräder Anlagen auf Dächern die für PV nicht geeignet sind
901,194,76.4%,0.21724137931034482,0.0016556452302890802,"Sofort alle Subventionen für fossile Energieträger (Dieselprivileg, Penlerpauschale, etc.) sotppen!"
902,352,66.0%,0.21714285714285714,0.00048077770927722646,"Alle benzin- und dieselbetriebenen Geräte Maschinen/Fahrzeuge die von der öffentlichen Hand gekauft werden, nur mehr elektrisch betriebene."
903,127,49.3%,0.21697388632872508,0.0037024382924638983,Insbesondere gezielte Förderung von Pelletts- und Hackschnitzelheizungen!
904,622,40.0%,0.2142857142857143,5.110229216579847e-07,kein Statement
905,308,64.1%,0.21220159151193632,0.0006070435445777058,"Technik kann unsere Energieprobleme nicht lösen. Mind Set Change muß gefördert werden. Schule,Medien mit intelligenter Politik."
906,580,52.6%,0.21114369501466276,4.318824819122474e-05,"Durch natürlichen Aufwind sind in Schornsteinen, Windrädern zur Energiegewinnung Windräder aus recycelbarem Material einzubauen!"
907,380,52.7%,0.21085714285714285,0.00039996847023852027,Führerschein für AutomatikFahrzeug soll auch für Schaltgetriebe gelten. E-fahrzeuge in Fahrschulen ebnen somit den Weg in die E-Mobilität
908,410,52.3%,0.20955223880597013,0.00032944605178971846,"Das Aufladen von E-Mobilen über Gehsteige ermöglichen, da derzeit das Legen eines Kabels über öffentlichen Grund verboten ist."
909,70,65.2%,0.20675675675675678,0.01064588873441831,"Das Bundesland Salzburg muss verpflichtet werden, in jedem (windtechnisch dafür geeigneten) Schigebiet Windräder zu errichten."
910,498,47.6%,0.20604703247480396,0.00014186750452023787,"wenn jeder Haushalt fünf Minuten das Licht späteraufdreht, könnte man Strom sparen."
911,8,82.5%,0.20600682922137256,0.057412408776011024,Klimarat: Eine unabhängige Klimakommission soll die Gesetze und Maßnahmen der Bundesregierung auf Klimawirksamkeit überprüfen.
912,406,68.4%,0.20416666666666666,0.00034289535588322747,"Per E-Meter die Stromabrechnung an das Angebot anpassen - teuer bei Strommangel, billig bei Überproduktion inkl. Info an Kunden."
913,605,37.5%,0.2040816326530612,2.041377577672277e-05,"Anstatt die Landschaft mit Windanlagen zuzupflastern, sollte man vielleicht Grossprojekte der Wasserkraft angehen."
914,592,40.0%,0.20312499999999997,3.249935949666768e-05,Der Klimarat ist in der Öffentlichkeit bekannt.
915,611,46.7%,0.19999999999999998,1.0669684212582408e-05,"Kernreaktoren der fünften Generation werden gebraucht, um Salzwasser billig und ohne Solerückstände in Trinkwasser zu verwandeln."
916,436,68.5%,0.19672131147540983,0.00028263688402937657,Die reichsten 10% verursachen 50% des CO2 Problems. Preiserhöhungen kümmern die nicht. Es muss eine pro Kopf CO2 Beschränkung kommen.
917,507,59.2%,0.19531250000000003,0.00012899032575528036,"Die Bauordnung abändern um Photovoltaik, Erdwärme etc.  als ""Muss"" für ""jedes"" neue Objekt zu fixieren."
918,468,41.7%,0.19437340153452684,0.00019160180809468615,Bei der Verbrennung von Holz wird fast genauso viel CO2 frei wie bei fossiler Kohle. Die Wiedereinbindung in neue BM dauert viel zu lang
919,597,45.2%,0.19230769230769232,2.9035897314699865e-05,Finanztransaktionssteuer statt allen anderen Steuern.
920,613,40.0%,0.1904761904761904,7.519282170382157e-06,Für alle Ein + Zwei Familienhäuser soll der gesamte Betrag gefördert werden!
920,621,50.0%,0.1904761904761904,8.574891354080583e-07,... auch die Möglichkeiten sind gering bis nicht vorhanden!
